Date,Value
1980-01-31,2592.6334227585
1980-02-29,2916.7119908814
1980-03-31,2303.8279
1980-04-30,2074.5475545593
1980-05-31,2076.7523091186
1980-06-30,2006.2042
1980-07-31,2175.9602091186
1980-08-31,2081.1611454407
1980-09-30,2059.1149454407
1980-10-31,2045.8870908814
1980-11-30,2010.6137091186
1980-12-31,1878.3365091186
1981-01-31,1876.1317545593
1981-02-28,1803.3788908813
1981-03-31,1816.6067454407
1981-04-30,1823.2210091187
1981-05-31,1746.0593091186
1981-06-30,1699.7621545593
1981-07-31,1682.1247908814
1981-08-31,1787.9469545593
1981-09-30,1706.3757454407
1981-10-31,1664.4881
1981-11-30,1651.2602454407
1981-12-31,1655.6697545593
1982-01-31,1613.7821091186
1982-02-28,1596.1447454407
1982-03-31,1512.3694545593
1982-04-30,1521.1878
1982-05-31,1530.0061454407
1982-06-30,1309.5443136398
1982-07-31,1439.6165908814
1982-08-31,1450.6396908813
1982-09-30,1424.1846545593
1982-10-31,1463.8675454407
1982-11-30,1444.0261
1982-12-31,1474.8906454407
1983-01-31,1574.0985454407
1983-02-28,1649.0554908813
1983-03-31,1598.3495
1983-04-30,1675.5112
1983-05-31,1765.9007545593
1983-06-30,1701.9669091186
1983-07-31,1704.1709908814
1983-08-31,1640.2371454407
1983-09-30,1560.8706908813
1983-10-31,1435.2077545593
1983-11-30,1388.9106
1983-12-31,1415.3663091186
1984-01-31,1375.6829136398
1984-02-29,1428.5934908813
1984-03-31,1501.3463545593
1984-04-30,1532.2109
1984-05-31,1419.7751454407
1984-06-30,1364.6598136398
1984-07-31,1331.5905136398
1984-08-31,1338.2043568199
1984-09-30,1294.1119568199
1984-10-31,1272.0657568199
1984-11-30,1344.8182
1984-12-31,1320.5674136398
1985-01-31,1358.0458863602
1985-02-28,1388.9106
1985-03-31,1389.351534092
1985-04-30,1501.3463545593
1985-05-31,1530.0061454407
1985-06-30,1433.003
1985-07-31,1474.8906454407
1985-08-31,1419.7751454407
1985-09-30,1366.8644
1985-10-31,1384.5013431801
1985-11-30,1369.0689863602
1985-12-31,1391.1151863602
1986-01-31,1417.5703908814
1986-02-28,1404.3429568199
1986-03-31,1444.0261
1986-04-30,1433.003
1986-05-31,1417.5703908814
1986-06-30,1413.1615545593
1986-07-31,1344.8182
1986-08-31,1302.9303863602
1986-09-30,1309.5443136398
1986-10-31,1316.1581568199
1986-11-30,1302.9303863602
1986-12-31,1331.5905136398
1987-01-31,1344.8182
1987-02-28,1380.0920863602
1987-03-31,1463.8675454407
1987-04-30,1483.7089908814
1987-05-31,1518.9830454407
1987-06-30,1571.8937908814
1987-07-31,1693.1478908813
1987-08-31,1754.8776545593
1987-09-30,1809.9931545593
1987-10-31,1966.5213091186
1987-11-30,2519.8803908814
1987-12-31,2866.006
1988-01-31,2660.9766091186
1988-02-29,2328.0790227585
1988-03-31,2358.9434
1988-04-30,2283.9866227585
1988-05-31,2442.7186908814
1988-06-30,2539.7225091187
1988-07-31,2213.4381772415
1988-08-31,2200.2104908813
1988-09-30,2433.9001772415
1988-10-31,2936.5541091187
1988-11-30,3302.5204908813
1988-12-31,3496.5274545593
1989-01-31,3392.9100454407
1989-02-28,3095.2863454407
1989-03-31,3262.8376
1989-04-30,3117.3325454407
1989-05-31,2738.1383091186
1989-06-30,2544.1311772415
1989-07-31,2503.7870954712
1989-08-31,2760.1845091187
1989-09-30,2883.6426908814
1989-10-31,2859.3924091186
1989-11-30,2590.4285
1989-12-31,2418.4684091187
1990-01-31,2365.5569908813
1990-02-28,2358.9434
1990-03-31,2625.7027227585
1990-04-30,2685.2268908813
1990-05-31,2740.3423908814
1990-06-30,2583.8149091187
1990-07-31,2769.0030227585
1990-08-31,2956.3955545593
1990-09-30,3040.1708454407
1990-10-31,2742.5469772415
1990-11-30,2583.8149091187
1990-12-31,2484.6070091186
1991-01-31,2447.1282
1991-02-28,2447.1282
1991-03-31,2409.6493908813
1991-04-30,2471.3793227585
1991-05-31,2340.4246727356
1991-06-30,2218.0680272568
1991-07-31,2231.2553458191
1991-08-31,2236.1867769241
1991-09-30,2318.5830029114
1991-10-31,2360.6455754761
1991-11-30,2375.660377887
1991-12-31,2205.9184974976
1992-01-31,2150.5796290161
1992-02-29,2208.892258606
1992-03-31,2231.7855095642
1992-04-30,2214.1668159927
1992-05-31,2219.3150558121
1992-06-30,2296.4419385864
1992-07-31,2527.2850224014
1992-08-31,2513.4699845825
1992-09-30,2419.614181781
1992-10-31,2262.4569623718
1992-11-30,2161.7890936829
1992-12-31,2211.9502874924
1993-01-31,2264.2139707733
1993-02-28,2212.1813931351
1993-03-31,2152.3802009995
1993-04-30,1953.6206019211
1993-05-31,1799.3516984482
1993-06-30,1857.8707084045
1993-07-31,1927.3398199264
1993-08-31,1951.0713754868
1993-09-30,1858.2499975052
1993-10-31,1646.9999289749
1993-11-30,1632.5681048447
1993-12-31,1723.6250736618
1994-01-31,1807.0713669907
1994-02-28,1865.0750147278
1994-03-31,1913.1739186646
1994-04-30,1881.3684671356
1994-05-31,2144.5000704605
1994-06-30,2363.0910230301
1994-07-31,2447.23803405
1994-08-31,2409.7499739777
1994-09-30,2504.8410313934
1994-10-31,2546.0237541641
1994-11-30,2803.5454109818
1994-12-31,2980.6999964508
1995-01-31,3003.2618950684
1995-02-28,2870.4501581451
1995-03-31,2919.6739780487
1995-04-30,2894.8888229645
1995-05-31,2771.5712556976
1995-06-30,2987.6819434876
1995-07-31,3076.4500581665
1995-08-31,3040.1361964142
1995-09-30,2910.4250427643
1995-10-31,2810.0681743179
1995-11-30,2981.6190366486
1995-12-31,2918.2106453766
1996-01-31,2604.9999294312
1996-02-29,2544.6667233597
1996-03-31,2563.3499494003
1996-04-30,2594.1749680389
1996-05-31,2658.761930809
1996-06-30,2177.5999827072
1996-07-31,1983.9347997177
1996-08-31,2017.8572058456
1996-09-30,1935.0714306091
1996-10-31,1960.1956751953
1996-11-30,2215.4286460739
1996-12-31,2264.5952782639
1997-01-31,2427.2727940292
1997-02-28,2406.6315615936
1997-03-31,2420.1842087265
1997-04-30,2389.3181494934
1997-05-31,2513.2999352341
1997-06-30,2611.2857001541
1997-07-31,2449.1957040466
1997-08-31,2250.1000430511
1997-09-30,2104.3095545212
1997-10-31,2050.6955684021
1997-11-30,1918.4999449936
1997-12-31,1761.4523914352
1998-01-31,1687.6000098633
1998-02-28,1663.9999860443
1998-03-31,1747.1591634109
1998-04-30,1800.1250781753
1998-05-31,1731.657929036
1998-06-30,1656.5951863251
1998-07-31,1655.6667269745
1998-08-31,1619.9250787567
1998-09-30,1646.7726919128
1998-10-31,1585.4999253464
1998-11-30,1573.7249751114
1998-12-31,1475.7630944717
1999-01-31,1432.0000284226
1999-02-28,1412.95
1999-03-31,1378.4772727273
1999-04-30,1463.725
1999-05-31,1510.447368421
1999-06-30,1422.1590909091
1999-07-31,1639.1818181818
1999-08-31,1646.7380952381
1999-09-30,1749.6818181818
1999-10-31,1723.2857142857
1999-11-30,1726.7727272727
1999-12-31,1764.8823529412
2000-01-31,1843.85
2000-02-29,1807.025
2000-03-31,1739.8
2000-04-30,1681.9075
2000-05-31,1785.097826087
2000-06-30,1752.0727272727
2000-07-31,1803.1428571429
2000-08-31,1857.1239130435
2000-09-30,1961.8928571429
2000-10-31,1894.3727272727
2000-11-30,1795.6022727273
2000-12-31,1852.4
2001-01-31,1787.0568181818
2001-02-28,1766.125
2001-03-31,1742.1590909091
2001-04-30,1665.9722222222
2001-05-31,1684.85
2001-06-30,1610.469047619
2001-07-31,1526.7704545455
2001-08-31,1466.4113636364
2001-09-30,1427.697368421
2001-10-31,1377.3760869565
2001-11-30,1434.2931818182
2001-12-31,1472.8470588235
2002-01-31,1508.2272727273
2002-02-28,1561.3675
2002-03-31,1607.3925
2002-04-30,1588.5714285714
2002-05-31,1597.0227272727
2002-06-30,1650.5944444444
2002-07-31,1588.2847826087
2002-08-31,1482.9166666667
2002-09-30,1478.9333333333
2002-10-31,1486.1717391304
2002-11-30,1581.0357142857
2002-12-31,1592.9642857143
2003-01-31,1650.3113636364
2003-02-28,1682.145
2003-03-31,1655.6928571429
2003-04-30,1587.8675
2003-05-31,1651.1
2003-06-30,1685.1071428571
2003-07-31,1712.8260869565
2003-08-31,1756.725
2003-09-30,1789.6704545455
2003-10-31,1925.5826086957
2003-11-30,2053.275
2003-12-31,2202.0357142857
2004-01-31,2421.4761904762
2004-02-29,2751.7175
2004-03-31,3000.2826086957
2004-04-30,2926.975
2004-05-31,2728.4605263158
2004-06-30,2689.0454545455
2004-07-31,2816.7954545455
2004-08-31,2844.2023809524
2004-09-30,2903.1704545455
2004-10-31,3009.4047619048
2004-11-30,3130.3090909091
2004-12-31,3139.7857142857
2005-01-31,3168.1
2005-02-28,3247.1
2005-03-31,3378.9047619048
2005-04-30,3389.8095238095
2005-05-31,3241.9
2005-06-30,3529.7272727273
2005-07-31,3608.4761904762
2005-08-31,3791.9090909091
2005-09-30,3850.6590909091
2005-10-31,4056.1666666667
2005-11-30,4278.1590909091
2005-12-31,4577.025
2006-01-31,4743.8571428571
2006-02-28,4974.975
2006-03-31,5123.6739130435
2006-04-30,6404.4444444444
2006-05-31,8059.1904761905
2006-06-30,7222.7727272727
2006-07-31,7726.7380952381
2006-08-31,7690.25
2006-09-30,7622.6428571429
2006-10-31,7497.4090909091
2006-11-30,7029.2954545455
2006-12-31,6680.9736842105
2007-01-31,5689.3409090909
2007-02-28,5718.15
2007-03-31,6465.2954545455
2007-04-30,7753.3421052632
2007-05-31,7677.9523809524
2007-06-30,7514.2380952381
2007-07-31,7980.9318181818
2007-08-31,7500.2045454545
2007-09-30,7671.35
2007-10-31,8020.5869565217
2007-11-30,6957.4318181818
2007-12-31,6630.7361111111
2008-01-31,7078.9090909091
2008-02-29,7941.1428571429
2008-03-31,8434.3157894737
2008-04-30,8714.1818181818
2008-05-31,8356.125
2008-06-30,8292.0
2008-07-31,8407.0217391304
2008-08-31,7633.8
2008-09-30,6975.1136363636
2008-10-31,4894.8913043478
2008-11-30,3729.1875
2008-12-31,3105.0952380952
2009-01-31,3260.3571428571
2009-02-28,3328.4125
2009-03-31,3770.875
2009-04-30,4436.925
2009-05-31,4591.4605263158
2009-06-30,5015.4318181818
2009-07-31,5228.4130434783
2009-08-31,6176.875
2009-09-30,6195.75
2009-10-31,6305.9886363636
2009-11-30,6682.4404761905
2009-12-31,6976.9761904762
2010-01-31,7367.375
2010-02-28,6867.675
2010-03-31,7466.9347826087
2010-04-30,7729.8375
2010-05-31,6843.1578947368
2010-06-30,6501.5
2010-07-31,6750.5681818182
2010-08-31,7302.6666666667
2010-09-30,7729.5909090909
2010-10-31,8289.7619047619
2010-11-30,8458.4204545455
2010-12-31,9152.8571428571
2011-01-31,9533.2
2011-02-28,9880.9375
2011-03-31,9503.3586956522
2011-04-30,9482.75
2011-05-31,8931.675
2011-06-30,9066.8522727273
2011-07-31,9650.4642857143
2011-08-31,8997.9886363636
2011-09-30,8300.1363636364
2011-10-31,7394.1904761905
2011-11-30,7581.0227272727
2011-12-31,7558.875
2012-01-31,8061.9166666667
2012-02-29,8441.4880952381
2012-03-31,8470.7840909091
2012-04-30,8285.5263157895
2012-05-31,7896.9090909091
2012-06-30,7428.2894736842
2012-07-31,7584.2613636364
2012-08-31,7510.4318181818
2012-09-30,8087.7425
2012-10-31,8062.0326086957
2012-11-30,7711.2272727273
2012-12-31,7966.4868421053
2013-01-31,8053.7386363636
2013-02-28,8060.925
2013-03-31,7652.375
2013-04-30,7221.1619047619
2013-05-31,7248.7142857143
2013-06-30,7000.2375
2013-07-31,6906.6413043478
2013-08-31,7186.25
2013-09-30,7159.269047619
2013-10-31,7203.0217391304
2013-11-30,7070.6547619048
2013-12-31,7214.9
2014-01-31,7291.4659090909
2014-02-28,7149.2125
2014-03-31,6650.0357142857
2014-04-30,6673.5625
2014-05-31,6891.125
2014-06-30,6821.1428571429
2014-07-31,7113.3804347826
2014-08-31,7001.8375
2014-09-30,6872.2159090909
2014-10-31,6737.4782608696
2014-11-30,6712.85
2014-12-31,6446.4523809524
2015-01-31,5830.5357142857
2015-02-28,5729.275
2015-03-31,5939.6704545455
2015-04-30,6042.0875
2015-05-31,6294.7763157895
2015-06-30,5833.0113636364
2015-07-31,5456.75
2015-08-31,5127.3
2015-09-30,5217.25
2015-10-31,5216.0909090909
2015-11-30,4799.9047619048
2015-12-31,4638.8333333333
2016-01-31,4471.7875
2016-02-29,4598.619047619
2016-03-31,4953.7976190476
2016-04-30,4872.7380952381
2016-05-31,4694.5375
2016-06-30,4641.9659090909
2016-07-31,4864.9047619048
2016-08-31,4751.6704545455
2016-09-30,4722.2045454545
2016-10-31,4731.2619047619
2016-11-30,5450.9318181818
2016-12-31,5660.35
2017-01-31,5754.5595238095
2017-02-28,5940.9125
2017-03-31,5824.6304347826
2017-04-30,5683.9027777778
2017-05-31,5599.5595238095
2017-06-30,5719.7613636364
2017-07-31,5985.119047619
2017-08-31,6485.625
2017-09-30,6577.1666666667
2017-10-31,6807.6022727273
2017-11-30,6826.5454545455
2017-12-31,6833.8947368421
2018-01-31,7065.8522727273
2018-02-28,7006.525
2018-03-31,6799.1785714286
2018-04-30,6851.5125
2018-05-31,6825.2738095238
2018-06-30,6965.8571428571
2018-07-31,6250.75
2018-08-31,6051.0454545455
2018-09-30,6050.7625
2018-10-31,6219.5869565217
2018-11-30,6195.9204545455
2018-12-31,6075.3157894737
2019-01-31,5939.1022727273
2019-02-28,6300.4875
2019-03-31,6439.4642857143
2019-04-30,6438.3625
2019-05-31,6017.9047619048
2019-06-30,5882.225
2019-07-31,5941.1956521739
2019-08-31,5709.4404761905
2019-09-30,5759.25
2019-10-31,5757.297826087
